x,y,weight,subtype,method,edge_id
maml1,bmf,0.05813149903468329,luma,ARACNE,bmf---maml1
jak1,myc,0.057916416210296084,luma,ARACNE,jak1---myc
ptprd,fbxw7,0.05779089987446451,luma,ARACNE,fbxw7---ptprd
acvr2b,map2k2,0.05761692362462423,luma,ARACNE,acvr2b---map2k2
maml3,pdgfa,0.05750979059029948,luma,ARACNE,maml3---pdgfa
cyp19a1,hdac9,0.05746911169042068,luma,ARACNE,cyp19a1---hdac9
ncor2,sdc4,0.05727732759076076,luma,ARACNE,ncor2---sdc4
mmp16,thsd7a,0.057266245521683246,luma,ARACNE,mmp16---thsd7a
myc,eif4e,0.05725317112731165,luma,ARACNE,eif4e---myc
syne1,fbxw7,0.05719330597953043,luma,ARACNE,fbxw7---syne1
stk11,map2k2,0.05712505342854968,luma,ARACNE,map2k2---stk11
map2k2,rps6kb2,0.05709646945190272,luma,ARACNE,map2k2---rps6kb2
pdgfra,bmp4,0.05706017621033421,luma,ARACNE,bmp4---pdgfra
casp9,jak1,0.05700672595760192,luma,ARACNE,casp9---jak1
akt1s1,afdn,0.056954748869573635,luma,ARACNE,afdn---akt1s1
ctcf,cdkn1b,0.056869466385635725,luma,ARACNE,cdkn1b---ctcf
maml1,pms2,0.05677331403808683,luma,ARACNE,maml1---pms2
map4,fgf1,0.05663176083534793,luma,ARACNE,fgf1---map4
cyp11a1,dab2,0.05660818097147846,luma,ARACNE,cyp11a1---dab2
ackr3,vegfb,0.05652920510809967,luma,ARACNE,ackr3---vegfb
map4,tnk2,0.05634051036895116,luma,ARACNE,map4---tnk2
sf3b1,smad7,0.056085219341972525,luma,ARACNE,sf3b1---smad7
st7,pms2,0.05603177058627917,luma,ARACNE,pms2---st7
taf1,mmp19,0.05599279491345488,luma,ARACNE,mmp19---taf1
asxl2,bmf,0.05594906852327952,luma,ARACNE,asxl2---bmf
sf3b1,nf2,0.05594440492582642,luma,ARACNE,nf2---sf3b1
taf1,map4,0.05590489001182952,luma,ARACNE,map4---taf1
acvr2a,ctcf,0.05584651650179584,luma,ARACNE,acvr2a---ctcf
ctbp2,birc6,0.05581903258250165,luma,ARACNE,birc6---ctbp2
serpini1,myc,0.05575482581115132,luma,ARACNE,myc---serpini1
pdgfra,csf1r,0.05560903218077051,luma,ARACNE,csf1r---pdgfra
pdgfra,akr1c2,0.055472039319292676,luma,ARACNE,akr1c2---pdgfra
