subtype,edge_id,source,target,direction,p_x2y,p_y2x,direction_strength,info
lumb,jak1---kdm6a,kdm6a,jak1,kdm6a -> jak1,0.5,0.00269890256729432,0.4973010974327057,29.036272
lumb,jak1---nras,nras,jak1,nras -> jak1,0.5,0.00304859489129151,0.4969514051087085,26.086841
lumb,hdac9---thsd7a,hdac9,thsd7a,hdac9 -> thsd7a,0.00318820293814401,0.5,0.49681179706185596,43.239415
lumb,cdh1---rbl2,rbl2,cdh1,rbl2 -> cdh1,0.5,0.00335537744878548,0.4966446225512145,38.955377
lumb,asxl1---casp8,casp8,asxl1,casp8 -> asxl1,0.5,0.00425777442747952,0.49574222557252046,47.117805
lumb,arid2---kdm3a,kdm3a,arid2,kdm3a -> arid2,0.5,0.00508531436841864,0.49491468563158136,65.930982
lumb,ccnd1---ncor2,ccnd1,ncor2,ccnd1 -> ncor2,0.00527877829338423,0.5,0.49472122170661575,25.770927
lumb,ncoa3---ptprm,ptprm,ncoa3,ptprm -> ncoa3,0.5,0.00860234181687237,0.49139765818312764,23.334952
lumb,numbl---thsd7a,thsd7a,numbl,thsd7a -> numbl,0.5,0.00962710157396529,0.4903728984260347,35.003702
lumb,ncoa3---src,src,ncoa3,src -> ncoa3,0.5,0.00994562590311174,0.49005437409688823,39.952407
lumb,ccnb1---chd1,chd1,ccnb1,chd1 -> ccnb1,0.5,0.0113124477452553,0.4886875522547447,66.174667
lumb,men1---tsc2,men1,tsc2,men1 -> tsc2,0.0288978459324566,0.5,0.4711021540675434,43.020832
lumb,abcc1---tsc2,abcc1,tsc2,abcc1 -> tsc2,0.0288982922036843,0.5,0.4711017077963157,64.544929
lumb,erbb3---tnk2,tnk2,erbb3,tnk2 -> erbb3,0.5,0.0324913292874476,0.4675086707125524,53.202303
lumb,map2k1---mmp19,mmp19,map2k1,mmp19 -> map2k1,0.5,0.0327848047064754,0.4672151952935246,20.401162
lumb,ncor2---pdgfrb,ncor2,pdgfrb,ncor2 -> pdgfrb,0.0380594370562148,0.5,0.4619405629437852,25.053684
lumb,tnk2---vegfa,vegfa,tnk2,vegfa -> tnk2,0.5,0.0475420847826782,0.4524579152173218,34.709653
