subtype,x,y,direction,is_directed,info
her2,adam10,casp8,undirected,NA,40.265718
her2,jak1,tbl1xr1,undirected,NA,40.118731
her2,ccnd1,tnk2,undirected,FALSE,39.551306
her2,adgra2,runx1,undirected,FALSE,39.142774
her2,jak1,smad7,undirected,NA,39.028907
her2,gdf11,myc,undirected,FALSE,38.915999
her2,ccnd1,gata3,undirected,FALSE,38.722504
her2,arid5b,cdk6,undirected,FALSE,38.46761
her2,mapk14,myc,undirected,NA,38.382957
her2,gata3,srd5a1,undirected,FALSE,38.072888
her2,cdkn1b,kdm3a,undirected,FALSE,37.866287
her2,cdk6,cyp21a2,undirected,FALSE,37.842448
her2,arid1a,jak1,undirected,NA,37.268406
her2,ccnd2,jak2,undirected,FALSE,37.131427
her2,casp8,ncoa2,undirected,NA,36.714434
her2,col6a3,jak1,undirected,NA,36.52611
her2,myc,sf3b1,undirected,NA,35.684681
her2,jak1,smad1,smad1 -> jak1,TRUE,35.463411
her2,jak1,rad51,undirected,NA,35.352977
her2,jak1,nf2,undirected,NA,35.215126
her2,acvr1,cdk6,undirected,NA,35.06755
her2,heyl,runx1,undirected,NA,34.616991
her2,casp8,stat3,undirected,NA,33.965193
her2,erbb2,hdac2,undirected,FALSE,33.940707
her2,cyp21a2,jak1,undirected,NA,33.8455
her2,fbxw7,jak1,undirected,NA,32.901819
her2,foxp1,myc,undirected,FALSE,32.885505
her2,adam10,myc,undirected,NA,32.821607
her2,casp8,smad1,undirected,NA,32.673588
her2,cdk6,jak1,undirected,NA,32.645555
her2,ccnd1,map4,ccnd1 -> map4,TRUE,32.557823
her2,gata3,spry2,undirected,FALSE,32.485669
her2,fas,jak1,undirected,NA,32.347072
her2,erbb2,gata3,undirected,FALSE,32.325551
her2,gata3,mapt,undirected,FALSE,31.994471
her2,erbb3,gata3,undirected,FALSE,31.706623
her2,jak1,tsc2,undirected,FALSE,31.581669
her2,map4,myc,undirected,NA,31.205176
her2,eif4e,runx1,undirected,FALSE,31.116413
her2,gdf11,jak1,undirected,NA,30.968663
her2,casp8,ncor2,undirected,FALSE,30.495489
her2,myc,stat3,undirected,NA,30.353981
her2,akt1,tsc2,undirected,FALSE,30.339221
her2,casp8,eif4e,undirected,NA,30.119699
her2,adam10,cdk6,undirected,NA,29.686968
her2,cdk6,col6a3,undirected,NA,29.516503
her2,cdk6,mmp7,undirected,NA,29.446997
her2,gsk3b,jak1,undirected,NA,29.436384
her2,cdk6,itgav,undirected,NA,29.351859
her2,acvr1,jak1,undirected,NA,29.275814
her2,map4,runx1,undirected,NA,29.223049
her2,cdk6,tnk2,undirected,NA,29.128555
her2,casp8,eif5a2,undirected,NA,29.107598
her2,afdn,jak1,undirected,NA,28.858948
her2,jak1,nfkb2,undirected,NA,28.829058
her2,casp8,map2k2,undirected,NA,28.51367
her2,mmp1,ptprd,undirected,NA,28.508779
her2,casp8,map2k1,undirected,NA,28.316836
her2,cdk6,map2k1,undirected,NA,28.288158
her2,jak2,ptpn22,undirected,FALSE,28.231136
her2,jak1,tnk2,undirected,NA,28.190436
her2,jak1,st7,undirected,NA,27.819406
her2,jak1,pms2,undirected,NA,27.795893
her2,ctcf,jak1,undirected,NA,27.774957
